"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
60,300,"extreme","hbi","1234",0.84,0.725416629417725,0.705127353971892,0.795701581027668
120,300,"equal","bf_ps","1234",0.88,0.890007378657338,0.87437889782596,0.878855621602366
120,300,"equal","psis","1234",0.533333333333333,0.723069598845996,0.567541181099123,0.510891767885233
120,300,"equal","waic","1234",0.533333333333333,0.721471986579695,0.561480038159695,0.515562602145368
120,300,"equal","hbi","1234",0.843333333333333,0.870502364107964,0.832588375007286,0.835651597794988
120,300,"extreme","bf_ps","1234",0.923333333333333,0.913515298261061,0.844887955182073,0.864946996564365
120,300,"extreme","psis","1234",0.756666666666667,0.672807816109216,0.56977534603585,0.696283454475559
120,300,"extreme","waic","1234",0.726666666666667,0.712240374567961,0.540353320815506,0.574108990149511
120,300,"extreme","hbi","1234",0.86,0.883446712018141,0.761838068560758,0.754340749405573
60,150,"equal","bf_ps","1235",0.9,0.916434404977962,0.881921859652952,0.8842788976773
60,150,"equal","psis","1235",0.586666666666667,0.745326568855981,0.615765851795264,0.577497537896256
60,150,"equal","waic","1235",0.526666666666667,0.686477976202421,0.562263541780349,0.590716827783124
60,150,"equal","hbi","1235",0.84,0.87202380952381,0.809732984102732,0.79522554739946
60,150,"extreme","bf_ps","1235",0.906666666666667,0.90952380952381,0.821315192743764,0.834032941081398
60,150,"extreme","psis","1235",0.693333333333333,0.659088997422331,0.479606009070295,0.527775532445688
60,150,"extreme","waic","1235",0.66,0.587022306397306,0.451799886621315,0.560683760683761
60,150,"extreme","hbi","1235",0.88,0.867634533488192,0.79234693877551,0.801086091002057
120,150,"equal","bf_ps","1235",0.86,0.870242800677583,0.830290297937357,0.824005620264468
120,150,"equal","psis","1235",0.513333333333333,0.686065603892429,0.55070345476025,0.504721901243141
120,150,"equal","waic","1235",0.553333333333333,0.695665445665446,0.577532229433852,0.559215821107639
120,150,"equal","hbi","1235",0.84,0.873802982731554,0.806741787624141,0.779197795655629
120,150,"extreme","bf_ps","1235",0.933333333333333,0.915509777578743,0.900560224089636,0.886386554621849
120,150,"extreme","psis","1235",0.706666666666667,0.6537918603136,0.528256443139505,0.633092423086702
120,150,"extreme","waic","1235",0.7,0.666457800511509,0.524095260594198,0.626451388388893
120,150,"extreme","hbi","1235",0.893333333333333,0.888106966924701,0.851739732037393,0.836818736337571
60,300,"equal","bf_ps","1235",0.862876254180602,0.860234683386537,0.838179677465392,0.840229491106684
60,300,"equal","psis","1235",0.533333333333333,0.708928838059744,0.568621656121656,0.516988803844567
60,300,"equal","waic","1235",0.53,0.709629251434346,0.568199855699856,0.520046880241484
60,300,"equal","hbi","1235",0.81,0.84442043924778,0.775058275058275,0.762342462758299
